State,QOL
California,162
Florida,145
Georgia,137
Louisiana,136
Texas,135
Arizona,134
Hawaii,134
South Carolina,131
Nevada,129
North Carolina,123
Washington DC,122
New Mexico,122
Tennessee,120
Virginia,120
Delaware,116
Oklahoma,112
Oregon,111
Colorado,110
Alabama,108
Mississippi,107
Arkansas,106
Rhode Island,103
Missouri,102
Maryland,101
Kansas,96
Massachusetts,93
New Jersey,93
Kentucky,87
Idaho,87
Washington,86
Connecticut,85
Nebraska,85
Illinois,85
Utah,82
Pennsylvania,81
Indiana,77
Wyoming,75
New York,73
Ohio,73
Montana,72
South Dakota,71
Iowa,60
Minnesota,59
Wisconsin,58
New Hampshire,51
West Virginia,51
Vermont,50
Maine,50
Michigan,47
North Dakota,46
Alaska,43
